Experimentos de degradación de PLÁSTICO LDPE						Experimentos de degradación de PLÁSTICO LDPE pretratado con luz UV				
Wavenumber	LDPE C - control	A15F	A18A	A30C		Wavenumber	LDPE UV - Control	A15F	A18A	A30C
680.239155	0.025669188	0.018288296	0.015263322	0.026238513		680.239155	0.024961033	0.017467812	0.012521558	0.016789345
682.102824	0.02689782	0.019274676	0.016021465	0.027459083		682.102824	0.026084639	0.018382687	0.013175648	0.01758944
683.966493	0.028061603	0.02022535	0.016746094	0.028609818		683.966493	0.027136497	0.019266628	0.013807515	0.018348979
685.830162	0.029160721	0.021140326	0.017437244	0.029690868		685.830162	0.028116777	0.02011961	0.014417134	0.019067977
687.693831	0.030195357	0.022019607	0.018094951	0.030702379		687.693831	0.029025648	0.020941602	0.015004474	0.019746451
689.5575	0.031165689	0.022863196	0.018719249	0.031644496		689.5575	0.029863275	0.021732574	0.015569505	0.020384411
691.421169	0.032071893	0.023671093	0.019310168	0.032517358		691.421169	0.030629822	0.022492491	0.016112197	0.02098187
693.284838	0.032914142	0.024443296	0.019867739	0.033321105		693.284838	0.031325446	0.023221318	0.016632516	0.021538834
695.148507	0.033692605	0.025179799	0.02039199	0.03405587		695.148507	0.031950306	0.023919017	0.017130427	0.022055312
697.012176	0.034407449	0.025880596	0.020882945	0.034721784		697.012176	0.032504555	0.024585548	0.017605894	0.022531306
698.875844	0.03550379	0.02815897	0.02242763	0.036153369		698.875844	0.033210367	0.026550904	0.019131633	0.023293557
700.739513	0.037163991	0.030361609	0.023988662	0.037346533		700.739513	0.034712344	0.028600779	0.020816759	0.024347706
702.603182	0.038340337	0.032242493	0.025256948	0.038409581		702.603182	0.035191259	0.030495287	0.022250494	0.025285246
704.466851	0.038935318	0.033986248	0.026331976	0.039382171		704.466851	0.035232274	0.032193485	0.023459066	0.025945855
706.33052	0.039932184	0.035258994	0.027034084	0.040316569		706.33052	0.035751491	0.033283666	0.024249297	0.026670945
708.194189	0.041687925	0.03595018	0.027266533	0.041118851		708.194189	0.037207008	0.033894186	0.024630116	0.027316198
710.057858	0.042811318	0.0363959	0.027435217	0.041674765		710.057858	0.038014473	0.034374289	0.024805585	0.027839254
711.921527	0.043037877	0.036933683	0.027841319	0.042081702		711.921527	0.03832178	0.03507064	0.025028335	0.028376577
713.785196	0.042793711	0.037418737	0.028119748	0.042154306		713.785196	0.03801371	0.03557559	0.025189554	0.028631185
715.648865	0.042271475	0.037683045	0.028314229	0.041938917		715.648865	0.037497153	0.035799184	0.025478379	0.028564939
717.512534	0.042251314	0.037736459	0.028434584	0.041723127		717.512534	0.037037495	0.036078039	0.025815568	0.028362969
719.376203	0.042596899	0.037599487	0.02817754	0.041427049		719.376203	0.037065276	0.035891722	0.025637307	0.028015524
721.239872	0.042295044	0.037380345	0.027850722	0.040887271		721.239872	0.036460301	0.035526217	0.025305922	0.027609803
723.10354	0.04137128	0.036920064	0.027455098	0.04016703		723.10354	0.035473555	0.034979752	0.024868638	0.027164418
724.967209	0.040912379	0.036229024	0.026906648	0.039324006		724.967209	0.034928045	0.034303709	0.024389474	0.026569035
726.830878	0.04040433	0.035436752	0.02628268	0.038401343		726.830878	0.034346654	0.033569818	0.023897733	0.025876821
728.694547	0.039150205	0.034612587	0.025618986	0.03730461		728.694547	0.032887672	0.032767825	0.023381529	0.025132275
730.558216	0.037596957	0.033529706	0.024732657	0.035999578		730.558216	0.03135759	0.031687353	0.022666081	0.024400801
732.421885	0.036467806	0.032142031	0.023640108	0.034527636		732.421885	0.030243389	0.03038062	0.021748778	0.023538685
734.285554	0.034977923	0.030522695	0.022458349	0.032852094		734.285554	0.028932097	0.028972012	0.020742047	0.022416186
736.149223	0.032840406	0.028821082	0.021279866	0.031018602		736.149223	0.027040518	0.027493346	0.019712743	0.021181826
